alpha=0.05, K=5, t=3min
Loss: 1165.766520678997	Valid acc: 64.54%	Test acc: 62.42%
Loss: 1159.4557515382767	Valid acc: 64.72%	Test acc: 62.48%
Loss: 1155.231622993946	Valid acc: 64.92%	Test acc: 62.79%
Loss: 1151.9520825147629	Valid acc: 64.92%	Test acc: 62.66%
Loss: 1146.76155179739	Valid acc: 65.20%	Test acc: 62.80%
Loss: 1142.720966398716	Valid acc: 65.04%	Test acc: 62.97%
Loss: 1138.8592174649239	Valid acc: 65.50%	Test acc: 63.05%
Loss: 1136.0604370236397	Valid acc: 65.15%	Test acc: 62.87%
Loss: 1132.2379540205002	Valid acc: 65.03%	Test acc: 62.86%
Loss: 1129.4589381814003	Valid acc: 65.14%	Test acc: 62.85%
Loss: 1126.0609782338142	Valid acc: 64.83%	Test acc: 62.66%
Loss: 1124.0604258179665	Valid acc: 65.29%	Test acc: 62.91%
Loss: 1120.5729948282242	Valid acc: 65.50%	Test acc: 63.10%
Loss: 1118.2900345623493	Valid acc: 65.60%	Test acc: 63.21%
Loss: 1115.677308112383	Valid acc: 65.32%	Test acc: 62.95%
Loss: 1113.3877858519554	Valid acc: 65.44%	Test acc: 63.03%
Loss: 1111.2680818140507	Valid acc: 65.32%	Test acc: 62.97%
Loss: 1108.9572606682777	Valid acc: 65.46%	Test acc: 63.12%
Loss: 1106.79078784585	Valid acc: 66.00%	Test acc: 63.43%
Loss: 1104.4436917304993	Valid acc: 65.77%	Test acc: 63.28%
Loss: 1103.0127768218517	Valid acc: 65.85%	Test acc: 63.29%
Loss: 1101.8589341044426	Valid acc: 65.80%	Test acc: 63.20%
Best epoch: 36
Valid acc: 66.00%
Test acc: 63.43%

alpha=0.2, K=10, t=4.25min
Loss: 1682.4254693984985	Valid acc: 59.46%	Test acc: 58.49%
Loss: 1382.338777244091	Valid acc: 62.02%	Test acc: 60.51%
Loss: 1316.5337673425674	Valid acc: 63.46%	Test acc: 61.71%
Loss: 1276.673569202423	Valid acc: 64.49%	Test acc: 62.51%
Loss: 1247.992391884327	Valid acc: 64.60%	Test acc: 62.56%
Loss: 1225.223807811737	Valid acc: 66.00%	Test acc: 63.40%
Loss: 1206.5145183205605	Valid acc: 66.24%	Test acc: 63.81%
Loss: 1188.9804605841637	Valid acc: 66.85%	Test acc: 64.20%
Loss: 1173.7636760473251	Valid acc: 67.25%	Test acc: 64.46%
Loss: 1160.8925057053566	Valid acc: 67.24%	Test acc: 64.54%
Loss: 1149.8834474086761	Valid acc: 67.05%	Test acc: 64.44%
Loss: 1139.9460069537163	Valid acc: 67.57%	Test acc: 64.76%
Loss: 1131.5404574871063	Valid acc: 67.36%	Test acc: 64.72%
Loss: 1122.3233493566513	Valid acc: 67.35%	Test acc: 64.58%
Loss: 1116.0003537535667	Valid acc: 67.70%	Test acc: 64.98%
Loss: 1109.5549592375755	Valid acc: 67.51%	Test acc: 64.64%
Loss: 1103.5274296998978	Valid acc: 67.46%	Test acc: 64.75%
Loss: 1098.3514290452003	Valid acc: 67.77%	Test acc: 65.10%
Loss: 1092.511806666851	Valid acc: 67.79%	Test acc: 64.92%
Loss: 1087.746038556099	Valid acc: 67.67%	Test acc: 64.92%
Loss: 1082.7952519357204	Valid acc: 67.87%	Test acc: 65.06%
Loss: 1079.4433988332748	Valid acc: 67.67%	Test acc: 65.04%
Loss: 1074.768344759941	Valid acc: 67.61%	Test acc: 64.96%
Loss: 1071.9281688034534	Valid acc: 67.92%	Test acc: 65.20%
Loss: 1068.2483297288418	Valid acc: 68.14%	Test acc: 65.52%
Loss: 1064.0843788683414	Valid acc: 67.63%	Test acc: 64.96%
Loss: 1061.710139065981	Valid acc: 68.00%	Test acc: 65.39%
Loss: 1059.3582952022552	Valid acc: 67.84%	Test acc: 65.08%
Loss: 1055.6835377514362	Valid acc: 67.53%	Test acc: 64.93%
Loss: 1053.4782272279263	Valid acc: 67.64%	Test acc: 64.97%
Loss: 1050.5752591788769	Valid acc: 67.70%	Test acc: 65.06%
Loss: 1047.6884936392307	Valid acc: 68.03%	Test acc: 65.13%
Loss: 1045.467724353075	Valid acc: 67.74%	Test acc: 65.12%
Loss: 1042.72586196661	Valid acc: 67.65%	Test acc: 64.96%
Loss: 1042.2492818832397	Valid acc: 67.38%	Test acc: 64.72%
Loss: 1039.6214805543423	Valid acc: 67.52%	Test acc: 64.73%
Loss: 1036.545953631401	Valid acc: 67.60%	Test acc: 64.93%
Loss: 1034.4413870573044	Valid acc: 67.63%	Test acc: 64.90%
Loss: 1032.9301567077637	Valid acc: 67.60%	Test acc: 64.90%
Loss: 1032.0662527680397	Valid acc: 67.64%	Test acc: 64.93%
Best epoch: 24
Valid acc: 68.14%
Test acc: 65.52%

alpha=0.2, K=20, t=6.75min
Loss: 1656.3713358044624	Valid acc: 59.59%	Test acc: 58.54%
Loss: 1359.8688787817955	Valid acc: 62.41%	Test acc: 60.68%
Loss: 1298.6377198696136	Valid acc: 64.71%	Test acc: 62.52%
Loss: 1262.9441683888435	Valid acc: 65.02%	Test acc: 62.66%
Loss: 1237.8140333294868	Valid acc: 65.91%	Test acc: 63.27%
Loss: 1217.423420548439	Valid acc: 66.53%	Test acc: 63.82%
Loss: 1200.3536285161972	Valid acc: 66.94%	Test acc: 64.05%
Loss: 1184.9022899270058	Valid acc: 67.40%	Test acc: 64.35%
Loss: 1172.2070929408073	Valid acc: 67.76%	Test acc: 64.68%
Loss: 1159.8792977333069	Valid acc: 67.90%	Test acc: 64.85%
Loss: 1149.3720527291298	Valid acc: 67.99%	Test acc: 64.84%
Loss: 1138.5145780444145	Valid acc: 68.19%	Test acc: 65.09%
Loss: 1131.4436261057854	Valid acc: 68.19%	Test acc: 65.14%
Loss: 1123.0831903219223	Valid acc: 68.33%	Test acc: 65.23%
Loss: 1116.0595136284828	Valid acc: 68.04%	Test acc: 65.09%
Loss: 1110.4114057421684	Valid acc: 67.84%	Test acc: 64.69%
Loss: 1104.0671375989914	Valid acc: 68.30%	Test acc: 65.44%
Loss: 1099.585107833147	Valid acc: 68.12%	Test acc: 65.12%
Loss: 1093.8694164156914	Valid acc: 68.17%	Test acc: 65.30%
Loss: 1088.9729917347431	Valid acc: 68.36%	Test acc: 65.32%
Loss: 1084.5236666798592	Valid acc: 68.29%	Test acc: 65.23%
Loss: 1080.375253856182	Valid acc: 68.27%	Test acc: 65.20%
Loss: 1076.4901732504368	Valid acc: 68.37%	Test acc: 65.42%
Loss: 1073.4756104052067	Valid acc: 68.52%	Test acc: 65.47%
Loss: 1069.6736333072186	Valid acc: 68.28%	Test acc: 65.02%
Loss: 1067.12347099185	Valid acc: 68.73%	Test acc: 65.68%
Loss: 1063.3599326908588	Valid acc: 68.41%	Test acc: 65.39%
Loss: 1060.7683586478233	Valid acc: 68.48%	Test acc: 65.32%
Loss: 1058.5763756930828	Valid acc: 68.55%	Test acc: 65.42%
Loss: 1055.4725379645824	Valid acc: 68.45%	Test acc: 65.34%
Loss: 1052.9743522405624	Valid acc: 68.35%	Test acc: 65.13%
Loss: 1050.098845422268	Valid acc: 68.51%	Test acc: 65.32%
Loss: 1047.9104770720005	Valid acc: 68.43%	Test acc: 65.29%
Loss: 1046.009866386652	Valid acc: 68.47%	Test acc: 65.35%
Loss: 1043.3645867109299	Valid acc: 68.51%	Test acc: 65.54%
Loss: 1042.4004177451134	Valid acc: 68.31%	Test acc: 65.14%
Loss: 1039.3627086281776	Valid acc: 68.27%	Test acc: 65.26%
Loss: 1038.78828394413	Valid acc: 68.20%	Test acc: 65.19%
Loss: 1036.292316943407	Valid acc: 68.39%	Test acc: 65.25%
Loss: 1034.6928666830063	Valid acc: 68.69%	Test acc: 65.57%
Best epoch: 25
Valid acc: 68.73%
Test acc: 65.68%

for alpha in 0.05 0.1 0.2 
do
for K in 5 10 20
do
python batch.py --dataset=papers100M-shadowkhop-5-10-15 --K=$K --pre_mlp=3 --aft_mlp=3 --alpha=$alpha --lmbd=1 --dropout=0.2 --lr=1e-3 --hidden=512 --wd=0 --device=1 --epoch=40 | tee -a 2023-04-29.log
done
done
